calories,cook_time_minutes,created_at,cuisine,description,difficulty,id,ingredients,prep_time_minutes,region,servings,steps,tags,title
414.0,16,2025-11-24T08:07:44.117994,South Indian,Paneer Tikka Masala prepared in a simple home-style method.,medium,paneer_tikka_masala_002,"[{'name': 'paneer', 'quantity': '150g'}, {'name': 'garlic', 'quantity': '2 tbsp'}, {'name': 'beans', 'quantity': '2 tbsp'}, {'name': 'ginger', 'quantity': '2 tsp'}, {'name': 'coriander powder', 'quantity': '2 tsp'}, {'name': 'turmeric', 'quantity': '2 tsp'}, {'name': 'tomato', 'quantity': '1 tbsp'}, {'name': 'peas', 'quantity': '1 tbsp'}]",22,West India,3,"[{'order': 1, 'text': 'Wash all ingredients for Paneer Tikka Masala.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add paneer and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}]",['vegetarian'],Paneer Tikka Masala
,20,2025-11-24T08:07:42.677682,Indian,Beginner friendly pav bhaji,medium,pav_bhaji_001,"[{'name': 'potato', 'quantity': '3 medium'}, {'name': 'cauliflower', 'quantity': '1 cup'}, {'name': 'green peas', 'quantity': '1 cup'}, {'name': 'tomato', 'quantity': '2 medium'}, {'name': 'onion', 'quantity': '2 medium'}, {'name': 'capsicum', 'quantity': '1'}, {'name': 'pav bhaji masala', 'quantity': '2 tbsp'}, {'name': 'red chilli powder', 'quantity': '1 tsp'}, {'name': 'turmeric', 'quantity': '0.5 tsp'}, {'name': 'ginger garlic paste', 'quantity': '1 tbsp'}, {'name': 'butter', 'quantity': '2 tbsp'}, {'name': 'oil', 'quantity': '2 tbsp'}, {'name': 'salt', 'quantity': 'to taste'}]",15,Maharashtra,4,"[{'order': 1, 'text': 'Peel and chop onions into very small pieces (pea-size).'}, {'order': 2, 'text': 'Wash and dice tomatoes into small cubes (Ludo dice size).'}, {'order': 3, 'text': 'Peel and cut potatoes into medium cubes (sugar-cube size).'}, {'order': 4, 'text': 'Remove capsicum seeds and chop into small cubes.'}, {'order': 5, 'text': 'Cut cauliflower into small florets (thumb-nail size).'}, {'order': 6, 'text': 'Boil potatoes, cauliflower, peas in pressure cooker for 3 whistles.'}, {'order': 7, 'text': 'In a pan, heat oil and butter; sauté onions till light brown, add ginger-garlic paste.'}, {'order': 8, 'text': 'Add tomatoes and spices; cook until soft and mushy.'}, {'order': 9, 'text': 'Add boiled veggies and mash with masher; add 0.5–1 cup water, simmer 10 minutes.'}, {'order': 10, 'text': 'Toast pav on tawa with butter until golden; serve with bhaji, chopped onion and lemon.'}]","['indian', 'vegetarian', 'street-food']",Pav Bhaji - Super Easy
427.0,35,2025-11-24T08:07:45.473422,Indo-Chinese,Poha prepared in a simple home-style method.,medium,poha_017,"[{'name': 'flattened rice', 'quantity': '200g'}, {'name': 'tomato', 'quantity': '2 tsp'}, {'name': 'beans', 'quantity': '2 tbsp'}, {'name': 'coriander powder', 'quantity': '1 tsp'}, {'name': 'oil', 'quantity': '2 tbsp'}, {'name': 'turmeric', 'quantity': '½ cup'}, {'name': 'garlic', 'quantity': '2 tbsp'}, {'name': 'peas', 'quantity': '1 tbsp'}]",24,West India,4,"[{'order': 1, 'text': 'Wash all ingredients for Poha.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add flattened rice and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}]",['vegetarian'],Poha
492.0,35,2025-11-24T08:07:45.066604,North Indian,Rajma Masala prepared in a simple home-style method.,easy,rajma_masala_011,"[{'name': 'kidney beans', 'quantity': '2 cups'}, {'name': 'oil', 'quantity': '2 tbsp'}, {'name': 'tomato', 'quantity': '½ cup'}, {'name': 'garlic', 'quantity': '1 tsp'}, {'name': 'beans', 'quantity': '½ cup'}, {'name': 'coriander powder', 'quantity': '½ cup'}, {'name': 'turmeric', 'quantity': '2 tbsp'}, {'name': 'red chilli powder', 'quantity': '1 tbsp'}]",10,North India,4,"[{'order': 1, 'text': 'Wash all ingredients for Rajma Masala.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add kidney beans and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}, {'order': 8, 'text': 'Serve hot with roti or rice.'}]",['vegetarian'],Rajma Masala
514.0,37,2025-11-24T08:07:44.487942,Indo-Chinese,Shahi Paneer prepared in a simple home-style method.,easy,shahi_paneer_005,"[{'name': 'mixed vegetables', 'quantity': '200g'}, {'name': 'oil', 'quantity': '½ cup'}, {'name': 'turmeric', 'quantity': '1 tbsp'}, {'name': 'peas', 'quantity': '2 tsp'}, {'name': 'coriander powder', 'quantity': '1 tsp'}, {'name': 'tomato', 'quantity': '½ cup'}, {'name': 'capsicum', 'quantity': '1 tbsp'}, {'name': 'onion', 'quantity': '2 tsp'}]",23,North India,2,"[{'order': 1, 'text': 'Wash all ingredients for Shahi Paneer.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add mixed vegetables and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}]",['vegetarian'],Shahi Paneer
386.0,24,2025-11-24T08:07:45.413590,South Indian,Upma prepared in a simple home-style method.,easy,upma_016,"[{'name': 'mixed vegetables', 'quantity': '2 cups'}, {'name': 'turmeric', 'quantity': '1 tsp'}, {'name': 'coriander powder', 'quantity': '1 tbsp'}, {'name': 'carrot', 'quantity': '2 tsp'}, {'name': 'red chilli powder', 'quantity': '2 tbsp'}, {'name': 'butter', 'quantity': '½ cup'}, {'name': 'garlic', 'quantity': '1 tbsp'}, {'name': 'onion', 'quantity': '1 tbsp'}, {'name': 'peas', 'quantity': '1 tbsp'}]",23,South India,3,"[{'order': 1, 'text': 'Wash all ingredients for Upma.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add mixed vegetables and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}]",['vegetarian'],Upma
383.0,39,2025-11-24T08:07:44.682278,South Indian,Veg Biryani prepared in a simple home-style method.,medium,veg_biryani_007,"[{'name': 'mixed vegetables', 'quantity': '1 cup'}, {'name': 'turmeric', 'quantity': '2 tsp'}, {'name': 'onion', 'quantity': '2 tbsp'}, {'name': 'butter', 'quantity': '½ cup'}, {'name': 'garlic', 'quantity': '1 tsp'}, {'name': 'oil', 'quantity': '½ cup'}, {'name': 'red chilli powder', 'quantity': '½ cup'}, {'name': 'beans', 'quantity': '2 tbsp'}]",14,West India,4,"[{'order': 1, 'text': 'Wash all ingredients for Veg Biryani.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add mixed vegetables and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}]",['vegetarian'],Veg Biryani
538.0,31,2025-11-24T08:07:45.535321,Indo-Chinese,Veg Manchurian prepared in a simple home-style method.,hard,veg_manchurian_018,"[{'name': 'mixed vegetables', 'quantity': '1 cup'}, {'name': 'oil', 'quantity': '2 tbsp'}, {'name': 'turmeric', 'quantity': '2 tbsp'}, {'name': 'red chilli powder', 'quantity': '1 tsp'}, {'name': 'butter', 'quantity': '2 tsp'}, {'name': 'ginger', 'quantity': '2 tsp'}, {'name': 'peas', 'quantity': '½ cup'}, {'name': 'beans', 'quantity': '2 tbsp'}, {'name': 'coriander powder', 'quantity': '2 tsp'}]",19,West India,3,"[{'order': 1, 'text': 'Wash all ingredients for Veg Manchurian.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add mixed vegetables and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}]",['vegetarian'],Veg Manchurian
407.0,24,2025-11-24T08:07:45.653462,Indo-Chinese,Vegetable Fried Rice prepared in a simple home-style method.,hard,vegetable_fried_rice_019,"[{'name': 'mixed vegetables', 'quantity': '2 cups'}, {'name': 'butter', 'quantity': '1 tbsp'}, {'name': 'turmeric', 'quantity': '½ cup'}, {'name': 'tomato', 'quantity': '2 tsp'}, {'name': 'oil', 'quantity': '½ cup'}, {'name': 'beans', 'quantity': '1 tsp'}, {'name': 'garam masala', 'quantity': '2 tsp'}, {'name': 'garlic', 'quantity': '2 tsp'}, {'name': 'capsicum', 'quantity': '1 tbsp'}]",23,North India,2,"[{'order': 1, 'text': 'Wash all ingredients for Vegetable Fried Rice.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add mixed vegetables and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}]",['vegetarian'],Vegetable Fried Rice
504.0,28,2025-11-24T08:07:45.348807,South Indian,Vegetable Sambar prepared in a simple home-style method.,medium,vegetable_sambar_015,"[{'name': 'mixed vegetables', 'quantity': '100g'}, {'name': 'garam masala', 'quantity': '1 tbsp'}, {'name': 'peas', 'quantity': '1 tbsp'}, {'name': 'onion', 'quantity': '1 tbsp'}, {'name': 'red chilli powder', 'quantity': '½ cup'}, {'name': 'oil', 'quantity': '1 tbsp'}, {'name': 'turmeric', 'quantity': '1 tbsp'}]",16,South India,2,"[{'order': 1, 'text': 'Wash all ingredients for Vegetable Sambar.'}, {'order': 2, 'text': 'Heat oil on medium flame.'}, {'order': 3, 'text': 'Add onions, ginger, garlic; sauté until golden.'}, {'order': 4, 'text': 'Add mixed vegetables and other vegetables.'}, {'order': 5, 'text': 'Add spices and cook until masala thickens.'}, {'order': 6, 'text': 'Add water, cover and simmer for 10 minutes.'}, {'order': 7, 'text': 'Adjust salt and mix well.'}, {'order': 8, 'text': 'Serve hot with roti or rice.'}]",['vegetarian'],Vegetable Sambar
